"session","item_type","bs_variance","ws_variance","proportion"
1,"Treated",0.75,0.25,0.142857142857143
1,"Untreated",0.75,0.25,0.03125
2,"Treated",0.75,0.25,0.0714285714285714
2,"Untreated",0.75,0.25,0.0625
3,"Treated",0.75,0.25,0.0357142857142857
3,"Untreated",0.75,0.25,0.15625
4,"Treated",0.75,0.25,0.0357142857142857
4,"Untreated",0.75,0.25,0.15625
5,"Treated",0.75,0.25,0.178571428571429
5,"Untreated",0.75,0.25,0.125
6,"Treated",0.75,0.25,0.5
6,"Untreated",0.75,0.25,0.375
7,"Treated",0.75,0.25,0.428571428571429
7,"Untreated",0.75,0.25,0.25
8,"Treated",0.75,0.25,0.535714285714286
8,"Untreated",0.75,0.25,0.3125
9,"Treated",0.75,0.25,0.428571428571429
9,"Untreated",0.75,0.25,0.34375
10,"Treated",0.75,0.25,0.5
10,"Untreated",0.75,0.25,0.46875
11,"Treated",0.75,0.25,0.642857142857143
11,"Untreated",0.75,0.25,0.21875
12,"Treated",0.75,0.25,0.571428571428571
12,"Untreated",0.75,0.25,0.3125
13,"Treated",0.75,0.25,0.714285714285714
13,"Untreated",0.75,0.25,0.46875
14,"Treated",0.75,0.25,0.75
14,"Untreated",0.75,0.25,0.375
15,"Treated",0.75,0.25,0.75
15,"Untreated",0.75,0.25,0.46875
