"session","item_type","bs_variance","ws_variance","proportion"
1,"Treated",0.25,0.25,0.1
1,"Untreated",0.25,0.25,0.266666666666667
2,"Treated",0.25,0.25,0.0666666666666667
2,"Untreated",0.25,0.25,0.166666666666667
3,"Treated",0.25,0.25,0.133333333333333
3,"Untreated",0.25,0.25,0.233333333333333
4,"Treated",0.25,0.25,0.0666666666666667
4,"Untreated",0.25,0.25,0.133333333333333
5,"Treated",0.25,0.25,0.166666666666667
5,"Untreated",0.25,0.25,0.0666666666666667
6,"Treated",0.25,0.25,0.633333333333333
6,"Untreated",0.25,0.25,0.266666666666667
7,"Treated",0.25,0.25,0.5
7,"Untreated",0.25,0.25,0.233333333333333
8,"Treated",0.25,0.25,0.533333333333333
8,"Untreated",0.25,0.25,0.333333333333333
9,"Treated",0.25,0.25,0.533333333333333
9,"Untreated",0.25,0.25,0.266666666666667
10,"Treated",0.25,0.25,0.766666666666667
10,"Untreated",0.25,0.25,0.433333333333333
11,"Treated",0.25,0.25,0.7
11,"Untreated",0.25,0.25,0.333333333333333
12,"Treated",0.25,0.25,0.7
12,"Untreated",0.25,0.25,0.333333333333333
13,"Treated",0.25,0.25,0.733333333333333
13,"Untreated",0.25,0.25,0.466666666666667
14,"Treated",0.25,0.25,0.733333333333333
14,"Untreated",0.25,0.25,0.4
15,"Treated",0.25,0.25,0.8
15,"Untreated",0.25,0.25,0.433333333333333
