"session","item_type","bs_variance","ws_variance","proportion"
1,"Treated",0.75,0.75,0.0645161290322581
1,"Untreated",0.75,0.75,0.0689655172413793
2,"Treated",0.75,0.75,0.0967741935483871
2,"Untreated",0.75,0.75,0.103448275862069
3,"Treated",0.75,0.75,0.0967741935483871
3,"Untreated",0.75,0.75,0.103448275862069
4,"Treated",0.75,0.75,0.193548387096774
4,"Untreated",0.75,0.75,0.137931034482759
5,"Treated",0.75,0.75,0.225806451612903
5,"Untreated",0.75,0.75,0.137931034482759
6,"Treated",0.75,0.75,0.483870967741935
6,"Untreated",0.75,0.75,0.206896551724138
7,"Treated",0.75,0.75,0.548387096774194
7,"Untreated",0.75,0.75,0.379310344827586
8,"Treated",0.75,0.75,0.580645161290323
8,"Untreated",0.75,0.75,0.379310344827586
9,"Treated",0.75,0.75,0.483870967741935
9,"Untreated",0.75,0.75,0.310344827586207
10,"Treated",0.75,0.75,0.645161290322581
10,"Untreated",0.75,0.75,0.448275862068966
11,"Treated",0.75,0.75,0.67741935483871
11,"Untreated",0.75,0.75,0.379310344827586
12,"Treated",0.75,0.75,0.548387096774194
12,"Untreated",0.75,0.75,0.344827586206897
13,"Treated",0.75,0.75,0.741935483870968
13,"Untreated",0.75,0.75,0.448275862068966
14,"Treated",0.75,0.75,0.67741935483871
14,"Untreated",0.75,0.75,0.517241379310345
15,"Treated",0.75,0.75,0.67741935483871
15,"Untreated",0.75,0.75,0.413793103448276
