"id","item_type","item_variability","session","response","bs_variance","ws_variance"
1,"Untreated",-0.864848049498564,1,0,0.75,0.25
2,"Treated",-0.825868416342084,1,0,0.75,0.25
3,"Untreated",0.702188656095125,1,0,0.75,0.25
4,"Untreated",-1.27585236131515,1,0,0.75,0.25
5,"Treated",0.713836479750768,1,0,0.75,0.25
6,"Treated",1.32778480667684,1,0,0.75,0.25
7,"Untreated",-0.49173050409288,1,0,0.75,0.25
8,"Treated",-0.147771246671273,1,0,0.75,0.25
9,"Untreated",0.988858637643493,1,0,0.75,0.25
10,"Treated",-1.24644728797682,1,0,0.75,0.25
11,"Treated",-1.05787183915392,1,0,0.75,0.25
12,"Treated",0.720609229270213,1,0,0.75,0.25
13,"Treated",-1.60817395216246,1,0,0.75,0.25
14,"Treated",-0.775797314502509,1,0,0.75,0.25
15,"Untreated",0.684792623519675,1,0,0.75,0.25
16,"Untreated",0.150390576722733,1,0,0.75,0.25
17,"Untreated",0.119221200975322,1,0,0.75,0.25
18,"Untreated",-0.841643022993258,1,0,0.75,0.25
19,"Treated",1.56831933544738,1,1,0.75,0.25
20,"Untreated",1.28878742141954,1,0,0.75,0.25
21,"Treated",0.0102405462998827,1,0,0.75,0.25
22,"Treated",-1.06828373629563,1,0,0.75,0.25
23,"Treated",-1.17836806661052,1,0,0.75,0.25
24,"Untreated",0.418378488729262,1,0,0.75,0.25
25,"Treated",-0.239487422334339,1,0,0.75,0.25
26,"Untreated",-0.272845815590253,1,0,0.75,0.25
27,"Untreated",-0.291145597797638,1,0,0.75,0.25
28,"Treated",1.28820430382395,1,1,0.75,0.25
29,"Untreated",0.444317577625005,1,0,0.75,0.25
30,"Untreated",-0.266300438249222,1,0,0.75,0.25
31,"Treated",-2.23666866738817,1,0,0.75,0.25
32,"Untreated",1.116078610626,1,0,0.75,0.25
33,"Untreated",0.522871758952875,1,0,0.75,0.25
34,"Untreated",0.112757670530857,1,0,0.75,0.25
35,"Treated",0.187240372486616,1,1,0.75,0.25
36,"Untreated",-0.724679637106406,1,0,0.75,0.25
37,"Untreated",-0.0971817010062557,1,0,0.75,0.25
38,"Untreated",-1.81572282377787,1,0,0.75,0.25
39,"Treated",-0.0750139202510033,1,0,0.75,0.25
40,"Untreated",-0.428443578814009,1,0,0.75,0.25
41,"Treated",-1.07507156257209,1,0,0.75,0.25
42,"Treated",1.03515805517419,1,0,0.75,0.25
43,"Treated",-0.564798341281592,1,0,0.75,0.25
44,"Untreated",1.38041510128181,1,1,0.75,0.25
45,"Untreated",0.414840632092612,1,0,0.75,0.25
46,"Treated",-0.749311240805021,1,0,0.75,0.25
47,"Untreated",0.764573893677194,1,0,0.75,0.25
48,"Untreated",1.96644771736846,1,0,0.75,0.25
49,"Untreated",0.043292590958662,1,0,0.75,0.25
50,"Untreated",0.123663050791428,1,0,0.75,0.25
51,"Treated",0.706451378544499,1,1,0.75,0.25
52,"Treated",-0.929803905646992,1,0,0.75,0.25
53,"Untreated",-0.295029231808316,1,0,0.75,0.25
54,"Untreated",-0.639898413460485,1,0,0.75,0.25
55,"Treated",-0.17221890355268,1,0,0.75,0.25
56,"Treated",0.762872101789548,1,0,0.75,0.25
57,"Treated",-0.243246793378619,1,0,0.75,0.25
58,"Untreated",-0.999052259615702,1,0,0.75,0.25
59,"Untreated",-0.137737510283172,1,0,0.75,0.25
60,"Treated",-0.138256271327495,1,0,0.75,0.25
1,"Untreated",-0.864848049498564,2,0,0.75,0.25
2,"Treated",-0.825868416342084,2,0,0.75,0.25
3,"Untreated",0.702188656095125,2,0,0.75,0.25
4,"Untreated",-1.27585236131515,2,0,0.75,0.25
5,"Treated",0.713836479750768,2,0,0.75,0.25
6,"Treated",1.32778480667684,2,0,0.75,0.25
7,"Untreated",-0.49173050409288,2,0,0.75,0.25
8,"Treated",-0.147771246671273,2,0,0.75,0.25
9,"Untreated",0.988858637643493,2,0,0.75,0.25
10,"Treated",-1.24644728797682,2,0,0.75,0.25
11,"Treated",-1.05787183915392,2,0,0.75,0.25
12,"Treated",0.720609229270213,2,0,0.75,0.25
13,"Treated",-1.60817395216246,2,0,0.75,0.25
14,"Treated",-0.775797314502509,2,0,0.75,0.25
15,"Untreated",0.684792623519675,2,0,0.75,0.25
16,"Untreated",0.150390576722733,2,0,0.75,0.25
17,"Untreated",0.119221200975322,2,0,0.75,0.25
18,"Untreated",-0.841643022993258,2,0,0.75,0.25
19,"Treated",1.56831933544738,2,0,0.75,0.25
20,"Untreated",1.28878742141954,2,0,0.75,0.25
21,"Treated",0.0102405462998827,2,0,0.75,0.25
22,"Treated",-1.06828373629563,2,0,0.75,0.25
23,"Treated",-1.17836806661052,2,0,0.75,0.25
24,"Untreated",0.418378488729262,2,0,0.75,0.25
25,"Treated",-0.239487422334339,2,0,0.75,0.25
26,"Untreated",-0.272845815590253,2,0,0.75,0.25
27,"Untreated",-0.291145597797638,2,0,0.75,0.25
28,"Treated",1.28820430382395,2,0,0.75,0.25
29,"Untreated",0.444317577625005,2,0,0.75,0.25
30,"Untreated",-0.266300438249222,2,0,0.75,0.25
31,"Treated",-2.23666866738817,2,0,0.75,0.25
32,"Untreated",1.116078610626,2,0,0.75,0.25
33,"Untreated",0.522871758952875,2,0,0.75,0.25
34,"Untreated",0.112757670530857,2,0,0.75,0.25
35,"Treated",0.187240372486616,2,0,0.75,0.25
36,"Untreated",-0.724679637106406,2,0,0.75,0.25
37,"Untreated",-0.0971817010062557,2,0,0.75,0.25
38,"Untreated",-1.81572282377787,2,0,0.75,0.25
39,"Treated",-0.0750139202510033,2,0,0.75,0.25
40,"Untreated",-0.428443578814009,2,0,0.75,0.25
41,"Treated",-1.07507156257209,2,0,0.75,0.25
42,"Treated",1.03515805517419,2,0,0.75,0.25
43,"Treated",-0.564798341281592,2,0,0.75,0.25
44,"Untreated",1.38041510128181,2,1,0.75,0.25
45,"Untreated",0.414840632092612,2,0,0.75,0.25
46,"Treated",-0.749311240805021,2,0,0.75,0.25
47,"Untreated",0.764573893677194,2,1,0.75,0.25
48,"Untreated",1.96644771736846,2,0,0.75,0.25
49,"Untreated",0.043292590958662,2,0,0.75,0.25
50,"Untreated",0.123663050791428,2,0,0.75,0.25
51,"Treated",0.706451378544499,2,0,0.75,0.25
52,"Treated",-0.929803905646992,2,0,0.75,0.25
53,"Untreated",-0.295029231808316,2,0,0.75,0.25
54,"Untreated",-0.639898413460485,2,0,0.75,0.25
55,"Treated",-0.17221890355268,2,0,0.75,0.25
56,"Treated",0.762872101789548,2,1,0.75,0.25
57,"Treated",-0.243246793378619,2,0,0.75,0.25
58,"Untreated",-0.999052259615702,2,0,0.75,0.25
59,"Untreated",-0.137737510283172,2,0,0.75,0.25
60,"Treated",-0.138256271327495,2,1,0.75,0.25
1,"Untreated",-0.864848049498564,3,0,0.75,0.25
2,"Treated",-0.825868416342084,3,0,0.75,0.25
3,"Untreated",0.702188656095125,3,0,0.75,0.25
4,"Untreated",-1.27585236131515,3,0,0.75,0.25
5,"Treated",0.713836479750768,3,0,0.75,0.25
6,"Treated",1.32778480667684,3,0,0.75,0.25
7,"Untreated",-0.49173050409288,3,0,0.75,0.25
8,"Treated",-0.147771246671273,3,0,0.75,0.25
9,"Untreated",0.988858637643493,3,1,0.75,0.25
10,"Treated",-1.24644728797682,3,0,0.75,0.25
11,"Treated",-1.05787183915392,3,0,0.75,0.25
12,"Treated",0.720609229270213,3,0,0.75,0.25
13,"Treated",-1.60817395216246,3,0,0.75,0.25
14,"Treated",-0.775797314502509,3,0,0.75,0.25
15,"Untreated",0.684792623519675,3,1,0.75,0.25
16,"Untreated",0.150390576722733,3,0,0.75,0.25
17,"Untreated",0.119221200975322,3,1,0.75,0.25
18,"Untreated",-0.841643022993258,3,0,0.75,0.25
19,"Treated",1.56831933544738,3,0,0.75,0.25
20,"Untreated",1.28878742141954,3,1,0.75,0.25
