"id","item_type","item_variability","session","response","bs_variance","ws_variance"
1,"Treated",-0.490149996730723,1,0,0.75,0.75
2,"Treated",-0.794340545755219,1,0,0.75,0.75
3,"Untreated",0.0356990775295135,1,0,0.75,0.75
4,"Treated",0.302018822166666,1,0,0.75,0.75
5,"Untreated",0.0868021082626373,1,0,0.75,0.75
6,"Untreated",0.590399151218269,1,0,0.75,0.75
7,"Untreated",-0.395931105376069,1,0,0.75,0.75
8,"Untreated",-0.510826959933373,1,0,0.75,0.75
9,"Treated",-0.38891378712943,1,0,0.75,0.75
10,"Treated",-0.97120772043012,1,0,0.75,0.75
11,"Untreated",-0.107344559575719,1,0,0.75,0.75
12,"Untreated",0.589113565469986,1,0,0.75,0.75
13,"Untreated",-1.10679796484413,1,0,0.75,0.75
14,"Treated",-0.996444217101136,1,0,0.75,0.75
15,"Untreated",-0.951204047881614,1,0,0.75,0.75
16,"Untreated",0.609786277147505,1,0,0.75,0.75
17,"Untreated",0.434159320585374,1,0,0.75,0.75
18,"Treated",1.06515187130812,1,1,0.75,0.75
19,"Untreated",-1.09866548200027,1,0,0.75,0.75
20,"Treated",-0.373665106534483,1,0,0.75,0.75
21,"Treated",0.447942289034249,1,0,0.75,0.75
22,"Untreated",0.926550938162341,1,0,0.75,0.75
23,"Treated",-0.0580016245109052,1,0,0.75,0.75
24,"Untreated",0.461544277481553,1,0,0.75,0.75
25,"Treated",0.187991265230265,1,0,0.75,0.75
26,"Treated",-1.55059972809172,1,0,0.75,0.75
27,"Untreated",-0.624975694353135,1,0,0.75,0.75
28,"Treated",0.947380408583788,1,0,0.75,0.75
29,"Treated",0.160504349419969,1,0,0.75,0.75
30,"Treated",-1.44234019034328,1,0,0.75,0.75
31,"Treated",-0.421212726490766,1,0,0.75,0.75
32,"Treated",-0.73379616242696,1,0,0.75,0.75
33,"Treated",0.650864198554617,1,1,0.75,0.75
34,"Untreated",1.03320151772877,1,0,0.75,0.75
35,"Untreated",-1.04146711384451,1,0,0.75,0.75
36,"Untreated",0.129015701813906,1,0,0.75,0.75
37,"Untreated",-0.20383486759057,1,0,0.75,0.75
38,"Untreated",1.29362445119179,1,0,0.75,0.75
39,"Treated",-0.647494889621819,1,0,0.75,0.75
40,"Untreated",0.647680643640084,1,0,0.75,0.75
41,"Treated",-0.252554857972224,1,0,0.75,0.75
42,"Treated",-0.692771368292575,1,0,0.75,0.75
43,"Treated",0.10266229069448,1,0,0.75,0.75
44,"Untreated",0.293273023359404,1,1,0.75,0.75
45,"Untreated",-0.215793779582618,1,0,0.75,0.75
46,"Untreated",-0.0724212140373048,1,0,0.75,0.75
47,"Treated",-1.19610679534177,1,0,0.75,0.75
48,"Treated",-1.04943796128157,1,0,0.75,0.75
49,"Untreated",-0.102402789124448,1,0,0.75,0.75
50,"Treated",0.621574637402877,1,0,0.75,0.75
51,"Treated",-0.621977677867527,1,0,0.75,0.75
52,"Treated",-0.539282656867213,1,0,0.75,0.75
53,"Untreated",-0.558487890746215,1,0,0.75,0.75
54,"Treated",-0.053949805592906,1,0,0.75,0.75
55,"Untreated",0.0467152977817875,1,0,0.75,0.75
56,"Untreated",-0.748359275363863,1,0,0.75,0.75
57,"Treated",1.21846841449044,1,0,0.75,0.75
58,"Treated",-0.980464081630508,1,0,0.75,0.75
59,"Treated",0.851159890772937,1,0,0.75,0.75
60,"Untreated",2.38806532002244,1,1,0.75,0.75
1,"Treated",-0.490149996730723,2,0,0.75,0.75
2,"Treated",-0.794340545755219,2,0,0.75,0.75
3,"Untreated",0.0356990775295135,2,0,0.75,0.75
4,"Treated",0.302018822166666,2,1,0.75,0.75
5,"Untreated",0.0868021082626373,2,0,0.75,0.75
6,"Untreated",0.590399151218269,2,0,0.75,0.75
7,"Untreated",-0.395931105376069,2,0,0.75,0.75
8,"Untreated",-0.510826959933373,2,0,0.75,0.75
9,"Treated",-0.38891378712943,2,0,0.75,0.75
10,"Treated",-0.97120772043012,2,0,0.75,0.75
11,"Untreated",-0.107344559575719,2,0,0.75,0.75
12,"Untreated",0.589113565469986,2,0,0.75,0.75
13,"Untreated",-1.10679796484413,2,0,0.75,0.75
14,"Treated",-0.996444217101136,2,0,0.75,0.75
15,"Untreated",-0.951204047881614,2,0,0.75,0.75
16,"Untreated",0.609786277147505,2,0,0.75,0.75
17,"Untreated",0.434159320585374,2,0,0.75,0.75
18,"Treated",1.06515187130812,2,0,0.75,0.75
19,"Untreated",-1.09866548200027,2,0,0.75,0.75
20,"Treated",-0.373665106534483,2,0,0.75,0.75
21,"Treated",0.447942289034249,2,0,0.75,0.75
22,"Untreated",0.926550938162341,2,0,0.75,0.75
23,"Treated",-0.0580016245109052,2,0,0.75,0.75
24,"Untreated",0.461544277481553,2,0,0.75,0.75
25,"Treated",0.187991265230265,2,0,0.75,0.75
26,"Treated",-1.55059972809172,2,0,0.75,0.75
27,"Untreated",-0.624975694353135,2,0,0.75,0.75
28,"Treated",0.947380408583788,2,0,0.75,0.75
29,"Treated",0.160504349419969,2,0,0.75,0.75
30,"Treated",-1.44234019034328,2,0,0.75,0.75
31,"Treated",-0.421212726490766,2,0,0.75,0.75
32,"Treated",-0.73379616242696,2,1,0.75,0.75
33,"Treated",0.650864198554617,2,0,0.75,0.75
34,"Untreated",1.03320151772877,2,1,0.75,0.75
35,"Untreated",-1.04146711384451,2,0,0.75,0.75
36,"Untreated",0.129015701813906,2,0,0.75,0.75
37,"Untreated",-0.20383486759057,2,0,0.75,0.75
38,"Untreated",1.29362445119179,2,0,0.75,0.75
39,"Treated",-0.647494889621819,2,0,0.75,0.75
40,"Untreated",0.647680643640084,2,1,0.75,0.75
41,"Treated",-0.252554857972224,2,0,0.75,0.75
42,"Treated",-0.692771368292575,2,0,0.75,0.75
43,"Treated",0.10266229069448,2,0,0.75,0.75
44,"Untreated",0.293273023359404,2,0,0.75,0.75
45,"Untreated",-0.215793779582618,2,0,0.75,0.75
46,"Untreated",-0.0724212140373048,2,1,0.75,0.75
47,"Treated",-1.19610679534177,2,0,0.75,0.75
48,"Treated",-1.04943796128157,2,0,0.75,0.75
49,"Untreated",-0.102402789124448,2,0,0.75,0.75
50,"Treated",0.621574637402877,2,0,0.75,0.75
51,"Treated",-0.621977677867527,2,0,0.75,0.75
52,"Treated",-0.539282656867213,2,0,0.75,0.75
53,"Untreated",-0.558487890746215,2,0,0.75,0.75
54,"Treated",-0.053949805592906,2,0,0.75,0.75
55,"Untreated",0.0467152977817875,2,0,0.75,0.75
56,"Untreated",-0.748359275363863,2,0,0.75,0.75
57,"Treated",1.21846841449044,2,1,0.75,0.75
58,"Treated",-0.980464081630508,2,0,0.75,0.75
59,"Treated",0.851159890772937,2,0,0.75,0.75
60,"Untreated",2.38806532002244,2,0,0.75,0.75
1,"Treated",-0.490149996730723,3,0,0.75,0.75
2,"Treated",-0.794340545755219,3,0,0.75,0.75
3,"Untreated",0.0356990775295135,3,0,0.75,0.75
4,"Treated",0.302018822166666,3,1,0.75,0.75
5,"Untreated",0.0868021082626373,3,0,0.75,0.75
6,"Untreated",0.590399151218269,3,0,0.75,0.75
7,"Untreated",-0.395931105376069,3,0,0.75,0.75
8,"Untreated",-0.510826959933373,3,0,0.75,0.75
9,"Treated",-0.38891378712943,3,0,0.75,0.75
10,"Treated",-0.97120772043012,3,0,0.75,0.75
11,"Untreated",-0.107344559575719,3,0,0.75,0.75
12,"Untreated",0.589113565469986,3,0,0.75,0.75
13,"Untreated",-1.10679796484413,3,0,0.75,0.75
14,"Treated",-0.996444217101136,3,0,0.75,0.75
15,"Untreated",-0.951204047881614,3,0,0.75,0.75
16,"Untreated",0.609786277147505,3,0,0.75,0.75
17,"Untreated",0.434159320585374,3,0,0.75,0.75
18,"Treated",1.06515187130812,3,0,0.75,0.75
19,"Untreated",-1.09866548200027,3,0,0.75,0.75
20,"Treated",-0.373665106534483,3,0,0.75,0.75
21,"Treated",0.447942289034249,3,0,0.75,0.75
22,"Untreated",0.926550938162341,3,1,0.75,0.75
23,"Treated",-0.0580016245109052,3,0,0.75,0.75
24,"Untreated",0.461544277481553,3,0,0.75,0.75
25,"Treated",0.187991265230265,3,0,0.75,0.75
26,"Treated",-1.55059972809172,3,1,0.75,0.75
27,"Untreated",-0.624975694353135,3,0,0.75,0.75
28,"Treated",0.947380408583788,3,0,0.75,0.75
29,"Treated",0.160504349419969,3,0,0.75,0.75
30,"Treated",-1.44234019034328,3,0,0.75,0.75
31,"Treated",-0.421212726490766,3,0,0.75,0.75
32,"Treated",-0.73379616242696,3,0,0.75,0.75
33,"Treated",0.650864198554617,3,0,0.75,0.75
34,"Untreated",1.03320151772877,3,0,0.75,0.75
35,"Untreated",-1.04146711384451,3,0,0.75,0.75
36,"Untreated",0.129015701813906,3,0,0.75,0.75
37,"Untreated",-0.20383486759057,3,0,0.75,0.75
38,"Untreated",1.29362445119179,3,0,0.75,0.75
39,"Treated",-0.647494889621819,3,0,0.75,0.75
40,"Untreated",0.647680643640084,3,1,0.75,0.75
41,"Treated",-0.252554857972224,3,1,0.75,0.75
42,"Treated",-0.692771368292575,3,0,0.75,0.75
43,"Treated",0.10266229069448,3,0,0.75,0.75
44,"Untreated",0.293273023359404,3,0,0.75,0.75
45,"Untreated",-0.215793779582618,3,0,0.75,0.75
46,"Untreated",-0.0724212140373048,3,0,0.75,0.75
47,"Treated",-1.19610679534177,3,0,0.75,0.75
48,"Treated",-1.04943796128157,3,0,0.75,0.75
49,"Untreated",-0.102402789124448,3,0,0.75,0.75
50,"Treated",0.621574637402877,3,0,0.75,0.75
51,"Treated",-0.621977677867527,3,0,0.75,0.75
52,"Treated",-0.539282656867213,3,0,0.75,0.75
53,"Untreated",-0.558487890746215,3,0,0.75,0.75
54,"Treated",-0.053949805592906,3,0,0.75,0.75
55,"Untreated",0.0467152977817875,3,0,0.75,0.75
56,"Untreated",-0.748359275363863,3,0,0.75,0.75
57,"Treated",1.21846841449044,3,0,0.75,0.75
58,"Treated",-0.980464081630508,3,0,0.75,0.75
59,"Treated",0.851159890772937,3,0,0.75,0.75
60,"Untreated",2.38806532002244,3,1,0.75,0.75
1,"Treated",-0.490149996730723,4,0,0.75,0.75
2,"Treated",-0.794340545755219,4,0,0.75,0.75
3,"Untreated",0.0356990775295135,4,0,0.75,0.75
4,"Treated",0.302018822166666,4,0,0.75,0.75
5,"Untreated",0.0868021082626373,4,0,0.75,0.75
6,"Untreated",0.590399151218269,4,0,0.75,0.75
7,"Untreated",-0.395931105376069,4,0,0.75,0.75
8,"Untreated",-0.510826959933373,4,0,0.75,0.75
9,"Treated",-0.38891378712943,4,0,0.75,0.75
10,"Treated",-0.97120772043012,4,1,0.75,0.75
11,"Untreated",-0.107344559575719,4,0,0.75,0.75
12,"Untreated",0.589113565469986,4,0,0.75,0.75
13,"Untreated",-1.10679796484413,4,0,0.75,0.75
14,"Treated",-0.996444217101136,4,1,0.75,0.75
15,"Untreated",-0.951204047881614,4,0,0.75,0.75
16,"Untreated",0.609786277147505,4,0,0.75,0.75
17,"Untreated",0.434159320585374,4,0,0.75,0.75
18,"Treated",1.06515187130812,4,0,0.75,0.75
19,"Untreated",-1.09866548200027,4,0,0.75,0.75
20,"Treated",-0.373665106534483,4,0,0.75,0.75
21,"Treated",0.447942289034249,4,1,0.75,0.75
22,"Untreated",0.926550938162341,4,0,0.75,0.75
23,"Treated",-0.0580016245109052,4,0,0.75,0.75
24,"Untreated",0.461544277481553,4,1,0.75,0.75
25,"Treated",0.187991265230265,4,0,0.75,0.75
26,"Treated",-1.55059972809172,4,0,0.75,0.75
27,"Untreated",-0.624975694353135,4,0,0.75,0.75
28,"Treated",0.947380408583788,4,0,0.75,0.75
29,"Treated",0.160504349419969,4,0,0.75,0.75
30,"Treated",-1.44234019034328,4,0,0.75,0.75
31,"Treated",-0.421212726490766,4,0,0.75,0.75
32,"Treated",-0.73379616242696,4,0,0.75,0.75
33,"Treated",0.650864198554617,4,1,0.75,0.75
34,"Untreated",1.03320151772877,4,1,0.75,0.75
35,"Untreated",-1.04146711384451,4,0,0.75,0.75
36,"Untreated",0.129015701813906,4,0,0.75,0.75
37,"Untreated",-0.20383486759057,4,0,0.75,0.75
38,"Untreated",1.29362445119179,4,0,0.75,0.75
39,"Treated",-0.647494889621819,4,0,0.75,0.75
40,"Untreated",0.647680643640084,4,0,0.75,0.75
41,"Treated",-0.252554857972224,4,0,0.75,0.75
42,"Treated",-0.692771368292575,4,0,0.75,0.75
43,"Treated",0.10266229069448,4,0,0.75,0.75
44,"Untreated",0.293273023359404,4,0,0.75,0.75
45,"Untreated",-0.215793779582618,4,1,0.75,0.75
46,"Untreated",-0.0724212140373048,4,0,0.75,0.75
47,"Treated",-1.19610679534177,4,0,0.75,0.75
48,"Treated",-1.04943796128157,4,0,0.75,0.75
49,"Untreated",-0.102402789124448,4,0,0.75,0.75
50,"Treated",0.621574637402877,4,0,0.75,0.75
51,"Treated",-0.621977677867527,4,1,0.75,0.75
52,"Treated",-0.539282656867213,4,0,0.75,0.75
53,"Untreated",-0.558487890746215,4,0,0.75,0.75
54,"Treated",-0.053949805592906,4,0,0.75,0.75
55,"Untreated",0.0467152977817875,4,0,0.75,0.75
56,"Untreated",-0.748359275363863,4,0,0.75,0.75
57,"Treated",1.21846841449044,4,0,0.75,0.75
58,"Treated",-0.980464081630508,4,0,0.75,0.75
59,"Treated",0.851159890772937,4,1,0.75,0.75
60,"Untreated",2.38806532002244,4,1,0.75,0.75
1,"Treated",-0.490149996730723,5,0,0.75,0.75
2,"Treated",-0.794340545755219,5,0,0.75,0.75
3,"Untreated",0.0356990775295135,5,0,0.75,0.75
4,"Treated",0.302018822166666,5,0,0.75,0.75
5,"Untreated",0.0868021082626373,5,0,0.75,0.75
6,"Untreated",0.590399151218269,5,0,0.75,0.75
7,"Untreated",-0.395931105376069,5,0,0.75,0.75
8,"Untreated",-0.510826959933373,5,1,0.75,0.75
9,"Treated",-0.38891378712943,5,0,0.75,0.75
10,"Treated",-0.97120772043012,5,0,0.75,0.75
11,"Untreated",-0.107344559575719,5,1,0.75,0.75
12,"Untreated",0.589113565469986,5,0,0.75,0.75
13,"Untreated",-1.10679796484413,5,0,0.75,0.75
14,"Treated",-0.996444217101136,5,0,0.75,0.75
15,"Untreated",-0.951204047881614,5,0,0.75,0.75
16,"Untreated",0.609786277147505,5,1,0.75,0.75
17,"Untreated",0.434159320585374,5,0,0.75,0.75
18,"Treated",1.06515187130812,5,0,0.75,0.75
19,"Untreated",-1.09866548200027,5,0,0.75,0.75
20,"Treated",-0.373665106534483,5,0,0.75,0.75
21,"Treated",0.447942289034249,5,0,0.75,0.75
22,"Untreated",0.926550938162341,5,0,0.75,0.75
23,"Treated",-0.0580016245109052,5,0,0.75,0.75
24,"Untreated",0.461544277481553,5,0,0.75,0.75
25,"Treated",0.187991265230265,5,1,0.75,0.75
26,"Treated",-1.55059972809172,5,0,0.75,0.75
27,"Untreated",-0.624975694353135,5,0,0.75,0.75
28,"Treated",0.947380408583788,5,0,0.75,0.75
29,"Treated",0.160504349419969,5,0,0.75,0.75
30,"Treated",-1.44234019034328,5,0,0.75,0.75
31,"Treated",-0.421212726490766,5,0,0.75,0.75
32,"Treated",-0.73379616242696,5,0,0.75,0.75
33,"Treated",0.650864198554617,5,0,0.75,0.75
34,"Untreated",1.03320151772877,5,0,0.75,0.75
35,"Untreated",-1.04146711384451,5,0,0.75,0.75
36,"Untreated",0.129015701813906,5,0,0.75,0.75
37,"Untreated",-0.20383486759057,5,0,0.75,0.75
38,"Untreated",1.29362445119179,5,0,0.75,0.75
39,"Treated",-0.647494889621819,5,1,0.75,0.75
40,"Untreated",0.647680643640084,5,0,0.75,0.75
41,"Treated",-0.252554857972224,5,1,0.75,0.75
42,"Treated",-0.692771368292575,5,0,0.75,0.75
43,"Treated",0.10266229069448,5,1,0.75,0.75
44,"Untreated",0.293273023359404,5,0,0.75,0.75
45,"Untreated",-0.215793779582618,5,0,0.75,0.75
46,"Untreated",-0.0724212140373048,5,0,0.75,0.75
47,"Treated",-1.19610679534177,5,0,0.75,0.75
48,"Treated",-1.04943796128157,5,0,0.75,0.75
49,"Untreated",-0.102402789124448,5,1,0.75,0.75
50,"Treated",0.621574637402877,5,0,0.75,0.75
51,"Treated",-0.621977677867527,5,0,0.75,0.75
52,"Treated",-0.539282656867213,5,1,0.75,0.75
53,"Untreated",-0.558487890746215,5,0,0.75,0.75
54,"Treated",-0.053949805592906,5,0,0.75,0.75
55,"Untreated",0.0467152977817875,5,0,0.75,0.75
56,"Untreated",-0.748359275363863,5,0,0.75,0.75
57,"Treated",1.21846841449044,5,1,0.75,0.75
58,"Treated",-0.980464081630508,5,0,0.75,0.75
59,"Treated",0.851159890772937,5,1,0.75,0.75
60,"Untreated",2.38806532002244,5,0,0.75,0.75
1,"Treated",-0.490149996730723,6,0,0.75,0.75
2,"Treated",-0.794340545755219,6,0,0.75,0.75
3,"Untreated",0.0356990775295135,6,0,0.75,0.75
4,"Treated",0.302018822166666,6,1,0.75,0.75
5,"Untreated",0.0868021082626373,6,1,0.75,0.75
6,"Untreated",0.590399151218269,6,1,0.75,0.75
7,"Untreated",-0.395931105376069,6,0,0.75,0.75
8,"Untreated",-0.510826959933373,6,0,0.75,0.75
9,"Treated",-0.38891378712943,6,0,0.75,0.75
10,"Treated",-0.97120772043012,6,1,0.75,0.75
11,"Untreated",-0.107344559575719,6,0,0.75,0.75
12,"Untreated",0.589113565469986,6,0,0.75,0.75
13,"Untreated",-1.10679796484413,6,0,0.75,0.75
14,"Treated",-0.996444217101136,6,0,0.75,0.75
15,"Untreated",-0.951204047881614,6,0,0.75,0.75
16,"Untreated",0.609786277147505,6,1,0.75,0.75
17,"Untreated",0.434159320585374,6,1,0.75,0.75
18,"Treated",1.06515187130812,6,0,0.75,0.75
19,"Untreated",-1.09866548200027,6,0,0.75,0.75
20,"Treated",-0.373665106534483,6,1,0.75,0.75
21,"Treated",0.447942289034249,6,1,0.75,0.75
22,"Untreated",0.926550938162341,6,1,0.75,0.75
23,"Treated",-0.0580016245109052,6,0,0.75,0.75
24,"Untreated",0.461544277481553,6,0,0.75,0.75
25,"Treated",0.187991265230265,6,1,0.75,0.75
26,"Treated",-1.55059972809172,6,0,0.75,0.75
27,"Untreated",-0.624975694353135,6,0,0.75,0.75
28,"Treated",0.947380408583788,6,1,0.75,0.75
29,"Treated",0.160504349419969,6,1,0.75,0.75
30,"Treated",-1.44234019034328,6,0,0.75,0.75
31,"Treated",-0.421212726490766,6,1,0.75,0.75
32,"Treated",-0.73379616242696,6,0,0.75,0.75
33,"Treated",0.650864198554617,6,0,0.75,0.75
34,"Untreated",1.03320151772877,6,0,0.75,0.75
35,"Untreated",-1.04146711384451,6,0,0.75,0.75
36,"Untreated",0.129015701813906,6,0,0.75,0.75
37,"Untreated",-0.20383486759057,6,0,0.75,0.75
38,"Untreated",1.29362445119179,6,0,0.75,0.75
39,"Treated",-0.647494889621819,6,0,0.75,0.75
40,"Untreated",0.647680643640084,6,0,0.75,0.75
41,"Treated",-0.252554857972224,6,1,0.75,0.75
42,"Treated",-0.692771368292575,6,1,0.75,0.75
43,"Treated",0.10266229069448,6,0,0.75,0.75
44,"Untreated",0.293273023359404,6,0,0.75,0.75
45,"Untreated",-0.215793779582618,6,0,0.75,0.75
46,"Untreated",-0.0724212140373048,6,0,0.75,0.75
47,"Treated",-1.19610679534177,6,0,0.75,0.75
48,"Treated",-1.04943796128157,6,1,0.75,0.75
49,"Untreated",-0.102402789124448,6,0,0.75,0.75
50,"Treated",0.621574637402877,6,1,0.75,0.75
51,"Treated",-0.621977677867527,6,1,0.75,0.75
52,"Treated",-0.539282656867213,6,0,0.75,0.75
