"sessionID","session","set","participant_variation","setID","id","i.id","response","sample_size","bs_variance","ws_variance"
3,3,5,-0.230136676189813,15,1,50,0,1,0.75,0.25
6,6,5,-0.156226058847931,30,1,102,0,1,0.75,0.25
9,9,5,0.832952198215461,41,1,135,1,1,0.75,0.25
9,9,5,0.832952198215461,45,1,142,1,1,0.75,0.25
10,10,5,0.739495164268866,46,1,143,0,1,0.75,0.25
11,11,5,0.362688583015655,54,1,163,1,1,0.75,0.25
1,1,5,1.52736832864116,1,2,1,0,1,0.75,0.25
1,1,5,1.52736832864116,1,2,2,0,1,0.75,0.25
1,1,5,1.52736832864116,3,2,7,0,1,0.75,0.25
1,1,5,1.52736832864116,3,2,8,0,1,0.75,0.25
4,4,5,0.131299298541268,17,2,56,0,1,0.75,0.25
4,4,5,0.131299298541268,17,2,57,0,1,0.75,0.25
4,4,5,0.131299298541268,19,2,58,0,1,0.75,0.25
4,4,5,0.131299298541268,19,2,59,0,1,0.75,0.25
6,6,5,-0.156226058847931,29,2,100,0,1,0.75,0.25
6,6,5,-0.156226058847931,29,2,101,0,1,0.75,0.25
8,8,5,-0.225795246510038,38,2,129,0,1,0.75,0.25
8,8,5,-0.225795246510038,38,2,130,1,1,0.75,0.25
8,8,5,-0.225795246510038,39,2,131,0,1,0.75,0.25
8,8,5,-0.225795246510038,39,2,132,0,1,0.75,0.25
8,8,5,-0.225795246510038,40,2,133,0,1,0.75,0.25
8,8,5,-0.225795246510038,40,2,134,0,1,0.75,0.25
9,9,5,0.832952198215461,42,2,136,0,1,0.75,0.25
9,9,5,0.832952198215461,42,2,137,0,1,0.75,0.25
9,9,5,0.832952198215461,43,2,138,0,1,0.75,0.25
9,9,5,0.832952198215461,43,2,139,0,1,0.75,0.25
9,9,5,0.832952198215461,44,2,140,1,1,0.75,0.25
9,9,5,0.832952198215461,44,2,141,0,1,0.75,0.25
10,10,5,0.739495164268866,47,2,144,1,1,0.75,0.25
10,10,5,0.739495164268866,47,2,145,0,1,0.75,0.25
10,10,5,0.739495164268866,49,2,149,0,1,0.75,0.25
10,10,5,0.739495164268866,49,2,150,1,1,0.75,0.25
2,2,5,0.420543108841191,7,3,20,0,1,0.75,0.25
2,2,5,0.420543108841191,7,3,21,0,1,0.75,0.25
2,2,5,0.420543108841191,7,3,22,0,1,0.75,0.25
2,2,5,0.420543108841191,9,3,28,0,1,0.75,0.25
2,2,5,0.420543108841191,9,3,29,0,1,0.75,0.25
2,2,5,0.420543108841191,9,3,30,0,1,0.75,0.25
2,2,5,0.420543108841191,10,3,31,0,1,0.75,0.25
2,2,5,0.420543108841191,10,3,32,0,1,0.75,0.25
2,2,5,0.420543108841191,10,3,33,0,1,0.75,0.25
3,3,5,-0.230136676189813,12,3,40,0,1,0.75,0.25
3,3,5,-0.230136676189813,12,3,41,0,1,0.75,0.25
3,3,5,-0.230136676189813,12,3,42,0,1,0.75,0.25
3,3,5,-0.230136676189813,14,3,47,0,1,0.75,0.25
3,3,5,-0.230136676189813,14,3,48,0,1,0.75,0.25
3,3,5,-0.230136676189813,14,3,49,0,1,0.75,0.25
5,5,5,1.19217906916949,23,3,75,0,1,0.75,0.25
5,5,5,1.19217906916949,23,3,76,0,1,0.75,0.25
5,5,5,1.19217906916949,23,3,77,0,1,0.75,0.25
6,6,5,-0.156226058847931,27,3,94,0,1,0.75,0.25
6,6,5,-0.156226058847931,27,3,95,0,1,0.75,0.25
6,6,5,-0.156226058847931,27,3,96,0,1,0.75,0.25
6,6,5,-0.156226058847931,28,3,97,0,1,0.75,0.25
6,6,5,-0.156226058847931,28,3,98,0,1,0.75,0.25
6,6,5,-0.156226058847931,28,3,99,0,1,0.75,0.25
8,8,5,-0.225795246510038,36,3,122,0,1,0.75,0.25
8,8,5,-0.225795246510038,36,3,123,0,1,0.75,0.25
8,8,5,-0.225795246510038,36,3,124,1,1,0.75,0.25
10,10,5,0.739495164268866,48,3,146,1,1,0.75,0.25
10,10,5,0.739495164268866,48,3,147,0,1,0.75,0.25
10,10,5,0.739495164268866,48,3,148,0,1,0.75,0.25
11,11,5,0.362688583015655,52,3,156,1,1,0.75,0.25
11,11,5,0.362688583015655,52,3,157,0,1,0.75,0.25
11,11,5,0.362688583015655,52,3,158,0,1,0.75,0.25
11,11,5,0.362688583015655,55,3,164,1,1,0.75,0.25
11,11,5,0.362688583015655,55,3,165,0,1,0.75,0.25
