"sessionID","session","set","participant_variation","setID","id","i.id","response","sample_size","bs_variance","ws_variance"
3,3,5,-0.132869471948594,15,1,50,0,1,0.25,0.75
6,6,5,-0.0901971571302873,30,1,102,0,1,0.25,0.75
9,9,5,0.480905175861787,41,1,135,1,1,0.25,0.75
9,9,5,0.480905175861787,45,1,142,1,1,0.25,0.75
10,10,5,0.426947732155056,46,1,143,0,1,0.25,0.75
11,11,5,0.209398351036092,54,1,163,1,1,0.25,0.75
1,1,5,0.88182651569268,1,2,1,0,1,0.25,0.75
1,1,5,0.88182651569268,1,2,2,0,1,0.25,0.75
1,1,5,0.88182651569268,3,2,7,0,1,0.25,0.75
1,1,5,0.88182651569268,3,2,8,0,1,0.25,0.75
4,4,5,0.0758056853572102,17,2,56,0,1,0.25,0.75
4,4,5,0.0758056853572102,17,2,57,0,1,0.25,0.75
4,4,5,0.0758056853572102,19,2,58,0,1,0.25,0.75
4,4,5,0.0758056853572102,19,2,59,0,1,0.25,0.75
6,6,5,-0.0901971571302873,29,2,100,0,1,0.25,0.75
6,6,5,-0.0901971571302873,29,2,101,0,1,0.25,0.75
8,8,5,-0.130362946354308,38,2,129,0,1,0.25,0.75
8,8,5,-0.130362946354308,38,2,130,1,1,0.25,0.75
8,8,5,-0.130362946354308,39,2,131,0,1,0.25,0.75
8,8,5,-0.130362946354308,39,2,132,0,1,0.25,0.75
8,8,5,-0.130362946354308,40,2,133,0,1,0.25,0.75
8,8,5,-0.130362946354308,40,2,134,0,1,0.25,0.75
9,9,5,0.480905175861787,42,2,136,0,1,0.25,0.75
9,9,5,0.480905175861787,42,2,137,0,1,0.25,0.75
9,9,5,0.480905175861787,43,2,138,0,1,0.25,0.75
9,9,5,0.480905175861787,43,2,139,0,1,0.25,0.75
9,9,5,0.480905175861787,44,2,140,1,1,0.25,0.75
9,9,5,0.480905175861787,44,2,141,0,1,0.25,0.75
10,10,5,0.426947732155056,47,2,144,1,1,0.25,0.75
10,10,5,0.426947732155056,47,2,145,0,1,0.25,0.75
10,10,5,0.426947732155056,49,2,149,0,1,0.25,0.75
10,10,5,0.426947732155056,49,2,150,1,1,0.25,0.75
2,2,5,0.242800677095304,7,3,20,0,1,0.25,0.75
2,2,5,0.242800677095304,7,3,21,0,1,0.25,0.75
2,2,5,0.242800677095304,7,3,22,0,1,0.25,0.75
2,2,5,0.242800677095304,9,3,28,0,1,0.25,0.75
2,2,5,0.242800677095304,9,3,29,0,1,0.25,0.75
2,2,5,0.242800677095304,9,3,30,0,1,0.25,0.75
2,2,5,0.242800677095304,10,3,31,0,1,0.25,0.75
2,2,5,0.242800677095304,10,3,32,0,1,0.25,0.75
2,2,5,0.242800677095304,10,3,33,0,1,0.25,0.75
3,3,5,-0.132869471948594,12,3,40,0,1,0.25,0.75
3,3,5,-0.132869471948594,12,3,41,0,1,0.25,0.75
3,3,5,-0.132869471948594,12,3,42,0,1,0.25,0.75
